ProjectId,DesignElementId,ElementTypeId,ParentDesignElementId,StartingDate,DueDate,Name,Description,CreationDate,UpdateDate
141373,2,4,,,,Scene Transfer,,03/08/2021 10:32,3/31/2023 7:41:13 AM
141373,4,15,27,,,Transistions,,03/08/2021 10:33,3/31/2023 7:42:02 AM
141373,5,13,,,,_Uncategorized,If you do not know where it goes or the element it should go to doesn't exists use this for temporary task making thing,03/08/2021 11:06,3/31/2023 7:57:56 AM
141373,6,13,,,,NPC,"Non-Playable Characters.
Anyone/Anything that is either controlled by AI or has dialogue",03/09/2021 1:33,3/31/2023 7:41:43 AM
141373,7,13,6,,,Minions,Regular Enemies that serves as hinderance to the player,03/09/2021 1:34,3/31/2023 7:41:43 AM
141373,8,13,6,,,Boss,A special Type of enemy where a room is reserved where the fight takes place.,03/09/2021 1:36,3/31/2023 7:41:54 AM
141373,9,13,,,,Player,[PLAYER SYSTEM](https://docs.google.com/document/d/1VGmpGh6xDzJJ8CXbSopDxrZ7Ic_Uypp6ZPNisT6pq1o/edit?usp=sharing),03/09/2021 1:36,3/31/2023 7:41:39 AM
141373,10,11,7,,,Skeleton Warrior,"Minion Documents:
- [Design Document](https://docs.google.com/document/d/1wtExpe0Jst95KYtCHK0RQBHe2MdKk6_9/edit?usp=sharing&ouid=111408961855616692624&rtpof=true&sd=true)
- [Technical Document](https://docs.google.com/document/d/1r1tZw6lCd9Q8yBDBIqxEU2_5q_AB5NK_/edit?usp=sharing&ouid=111408961855616692624&rtpof=true&sd=true)

**Mini Changelog:**
September 22, 2022
- Changes: Updated documents' format; Added Design Document.
Reason: Outdated document format.",03/09/2021 1:42,3/31/2023 7:41:49 AM
141373,11,11,8,,,Black Death,,03/09/2021 1:42,3/31/2023 8:16:03 AM
141373,12,13,,,,Systems,Main System for any cinematic needs,03/09/2021 1:43,3/31/2023 7:41:59 AM
141373,13,10,9,,,Primary Skills,"Skills To be Acquired by interacting with %15 
Skills are enumerated in Enum for Reference in code.

[PRIMARY SKILLS](https://docs.google.com/document/d/1mYVS15w4R2mVynfbiMKJhi-G6jXAi-_Qox_eQ4_nYLs/edit?usp=sharing)",03/09/2021 1:44,3/31/2023 7:41:41 AM
141373,14,12,,,,Interactables,"Any Object that the player can interact via button press, attacking.",03/09/2021 1:47,3/31/2023 7:41:27 AM
141373,15,12,14,,,Skill Shrine,"**Type:** %82 

Contains one %13 for the %9 to unlock
Shows %62 after acquiring it",03/09/2021 1:49,3/31/2023 7:41:36 AM
141373,16,9,31,,,Combat,"Combat Happens when the %21 of a %18 touches the %20 of %19.

### **RULES**
-All attack instance should only have 1 %22 
-Damageable can resist different %22 at different percentages
-Flinching is occurs when certain conditions are met",03/09/2021 1:56,3/31/2023 7:42:03 AM
141373,17,15,16,,,Damage Calculation,"The Following will occur
1. Based on Critical Chance: Increase the Damage of %18
2. Reduce the Damage based on %23 for each Damage Type
3. Apply Each Damage to %19",03/09/2021 1:58,3/31/2023 7:42:05 AM
141373,18,14,16,,,Attacker,"The Component needed to deal Damage 
Needs %21 for it to be fully functional.

Contains:
- Damage Value
- Damage Modifier
- Critical Chance
- Ignore Certain %25",03/09/2021 2:02,3/31/2023 7:42:04 AM
